,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
328,2023,8,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",31.0,14.0,8.77,0.0,1.86,0.0,3.38,0.0,0.0,982.0,604.0,0.0,106.0,0.0,272.0
330,2023,8,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",520.0,162.0,63.73,1.37,25.02,0.91,70.97,14.0,1.0,14649.0,5386.0,149.0,1377.0,30.0,7707.0
336,2023,8,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3466.0,1223.0,385.04,21.57,221.4,2.12,592.87,109.0,3.0,113183.0,39141.0,2478.0,12126.0,148.0,59290.0
338,2023,8,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",1105.0,362.0,146.08,3.67,131.12,1.07,80.06,14.0,1.0,26620.0,13357.0,239.0,5543.0,40.0,7441.0
339,2023,8,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",1325.0,358.0,126.28,7.82,82.43,0.75,140.72,41.0,14.0,30214.0,10386.0,748.0,5516.0,15.0,13549.0
344,2023,8,B6,JetBlue Airways,MSP,"Minneapolis, MN: Minneapolis-St Paul International",31.0,11.0,5.79,0.0,2.64,0.0,2.57,1.0,0.0,1118.0,599.0,0.0,166.0,0.0,353.0
348,2023,8,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",62.0,21.0,10.33,0.0,6.42,0.0,4.25,0.0,0.0,1429.0,877.0,0.0,207.0,0.0,345.0
353,2023,8,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",62.0,31.0,17.88,0.0,4.7,0.0,8.42,2.0,2.0,2226.0,1347.0,0.0,251.0,0.0,628.0
366,2023,8,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",182.0,47.0,23.62,0.0,15.56,0.0,7.82,3.0,1.0,2954.0,1496.0,0.0,741.0,0.0,717.0
367,2023,8,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",448.0,133.0,60.79,2.64,39.78,0.0,29.79,4.0,0.0,7994.0,4494.0,66.0,1350.0,0.0,2084.0
368,2023,8,B6,JetBlue Airways,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",62.0,29.0,13.63,0.0,4.16,0.5,10.71,0.0,1.0,1512.0,822.0,0.0,131.0,14.0,545.0
370,2023,8,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",217.0,74.0,34.48,4.27,9.88,0.39,24.98,3.0,0.0,6102.0,2939.0,277.0,646.0,12.0,2228.0
379,2023,8,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19716.0,3416.0,928.68,169.57,935.84,1.0,1380.91,475.0,125.0,303248.0,110115.0,22089.0,70200.0,43.0,100801.0
401,2023,8,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",601.0,101.0,46.76,6.63,21.96,0.0,25.65,9.0,1.0,9448.0,5048.0,846.0,1057.0,0.0,2497.0
409,2023,8,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",1127.0,283.0,111.56,8.07,109.05,0.0,54.32,7.0,4.0,17700.0,8909.0,565.0,4219.0,0.0,4007.0
410,2023,8,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",953.0,219.0,104.36,4.02,51.67,0.0,58.95,15.0,5.0,13855.0,7495.0,299.0,2232.0,0.0,3829.0
415,2023,8,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",586.0,108.0,58.51,6.6,22.4,1.0,19.49,11.0,0.0,7284.0,3903.0,829.0,1505.0,53.0,994.0
442,2023,8,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2527.0,442.0,160.43,15.88,120.59,1.0,144.1,19.0,3.0,41797.0,21454.0,2364.0,5403.0,27.0,12549.0
446,2023,8,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3348.0,610.0,252.91,28.97,147.87,1.38,178.88,29.0,3.0,48703.0,24768.0,3604.0,6509.0,120.0,13702.0
448,2023,8,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2164.0,368.0,138.08,22.12,81.4,2.49,123.91,42.0,7.0,28020.0,10486.0,1701.0,6227.0,97.0,9509.0
462,2023,8,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",6471.0,948.0,333.82,30.4,171.29,2.03,410.46,48.0,7.0,81782.0,41152.0,2833.0,7655.0,90.0,30052.0
466,2023,8,DL,Delta Air Lines Inc.,OAK,"Oakland, CA: Metro Oakland International",31.0,4.0,2.92,0.0,0.0,0.0,1.08,0.0,0.0,956.0,881.0,0.0,0.0,0.0,75.0
471,2023,8,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1040.0,265.0,117.03,8.57,69.43,0.0,69.97,16.0,9.0,19013.0,8913.0,762.0,3975.0,0.0,5363.0
476,2023,8,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",864.0,158.0,74.48,8.75,33.6,0.0,41.18,10.0,3.0,10874.0,5001.0,932.0,1935.0,0.0,3006.0
494,2023,8,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",3201.0,391.0,149.62,16.7,79.87,0.0,144.81,29.0,4.0,36535.0,19341.0,1439.0,3245.0,0.0,12510.0
495,2023,8,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",1243.0,226.0,103.02,8.17,55.89,0.0,58.93,15.0,0.0,13967.0,7440.0,1273.0,1837.0,0.0,3417.0
497,2023,8,DL,Delta Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",271.0,40.0,24.02,2.24,5.76,0.0,7.99,4.0,0.0,3765.0,2017.0,587.0,340.0,0.0,821.0
499,2023,8,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4710.0,644.0,238.56,22.58,105.03,0.0,277.83,32.0,15.0,58212.0,26017.0,2266.0,4878.0,0.0,25051.0
503,2023,8,DL,Delta Air Lines Inc.,STL,"St. Louis, MO: St Louis Lambert International",526.0,87.0,42.46,7.75,13.49,0.0,23.31,7.0,1.0,5728.0,3242.0,470.0,505.0,0.0,1511.0
515,2023,8,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",960.0,396.0,92.76,3.85,125.17,0.0,174.22,63.0,3.0,40145.0,12239.0,198.0,8264.0,0.0,19444.0
527,2023,8,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",249.0,95.0,19.1,1.56,27.03,0.0,47.31,9.0,1.0,6980.0,1624.0,72.0,1524.0,0.0,3760.0
531,2023,8,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",2128.0,644.0,169.12,12.65,164.62,0.0,297.61,63.0,1.0,59928.0,20106.0,1047.0,8809.0,0.0,29966.0
532,2023,8,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",632.0,205.0,52.7,3.36,62.95,0.0,86.0,32.0,0.0,17205.0,5541.0,744.0,3009.0,0.0,7911.0
547,2023,8,F9,Frontier Airlines Inc.,LGA,"New York, NY: LaGuardia",117.0,33.0,14.71,1.48,7.42,0.0,9.38,9.0,0.0,2120.0,1166.0,37.0,361.0,0.0,556.0
557,2023,8,F9,Frontier Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",62.0,18.0,3.87,0.7,0.59,0.0,12.83,1.0,0.0,1640.0,392.0,52.0,41.0,0.0,1155.0
563,2023,8,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",57.0,17.0,10.03,0.82,4.73,0.0,1.42,2.0,0.0,1541.0,1084.0,110.0,244.0,0.0,103.0
568,2023,8,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",559.0,148.0,49.02,2.23,19.44,0.0,77.31,30.0,2.0,13673.0,3920.0,180.0,1642.0,0.0,7931.0
578,2023,8,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",67.0,8.0,2.4,0.44,1.89,0.0,3.27,2.0,0.0,574.0,210.0,66.0,126.0,0.0,172.0
579,2023,8,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",332.0,114.0,36.97,1.06,24.42,0.0,51.55,18.0,1.0,9622.0,2655.0,44.0,967.0,0.0,5956.0
581,2023,8,F9,Frontier Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",119.0,38.0,16.54,1.8,2.84,0.0,16.82,4.0,0.0,3142.0,964.0,284.0,105.0,0.0,1789.0
585,2023,8,F9,Frontier Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",121.0,25.0,8.57,0.3,1.68,0.0,14.45,5.0,0.0,2204.0,870.0,28.0,78.0,0.0,1228.0
1262,2023,8,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",767.0,192.0,62.9,6.42,71.02,0.0,51.67,5.0,10.0,13356.0,3698.0,878.0,3929.0,0.0,4851.0
1278,2023,8,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",414.0,120.0,38.95,2.93,42.39,0.0,35.73,4.0,5.0,8776.0,2817.0,291.0,2161.0,0.0,3507.0
1283,2023,8,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",8711.0,1564.0,401.48,52.8,622.24,0.9,486.58,96.0,45.0,112049.0,33481.0,5296.0,31673.0,71.0,41528.0
1284,2023,8,UA,United Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",775.0,177.0,68.88,2.51,51.6,0.0,54.02,6.0,2.0,10469.0,4284.0,199.0,2003.0,0.0,3983.0
1290,2023,8,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",5862.0,1034.0,315.89,35.91,304.36,1.96,375.89,99.0,8.0,77784.0,25689.0,5364.0,14267.0,181.0,32283.0
1311,2023,8,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2408.0,381.0,151.25,11.63,83.93,1.0,133.19,20.0,2.0,32692.0,9954.0,1300.0,3384.0,37.0,18017.0
1312,2023,8,UA,United Air Lines Inc.,LGA,"New York, NY: LaGuardia",686.0,135.0,44.14,3.79,30.33,0.0,56.74,19.0,2.0,7390.0,1952.0,174.0,1272.0,0.0,3992.0
1325,2023,8,UA,United Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",507.0,126.0,46.18,3.14,20.9,0.0,55.78,4.0,3.0,8050.0,2581.0,268.0,875.0,0.0,4326.0
1332,2023,8,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",8291.0,1590.0,453.05,49.17,557.31,1.0,529.47,130.0,25.0,122693.0,34963.0,6260.0,32264.0,48.0,49158.0
1337,2023,8,UA,United Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",623.0,106.0,46.36,3.68,14.79,0.0,41.17,0.0,4.0,6960.0,2848.0,168.0,773.0,0.0,3171.0
1354,2023,8,UA,United Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",972.0,191.0,68.96,3.06,56.33,0.0,62.65,4.0,0.0,11509.0,5584.0,224.0,1664.0,0.0,4037.0
1355,2023,8,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",4415.0,831.0,288.9,30.46,229.05,1.64,280.95,39.0,3.0,62294.0,23125.0,3594.0,9078.0,81.0,26416.0
1356,2023,8,UA,United Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",133.0,20.0,6.72,0.0,1.17,0.0,12.1,1.0,0.0,1363.0,572.0,0.0,67.0,0.0,724.0
1358,2023,8,UA,United Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",336.0,66.0,25.59,0.0,11.95,0.0,28.46,2.0,0.0,3881.0,1538.0,0.0,507.0,0.0,1836.0
1363,2023,8,UA,United Air Lines Inc.,STL,"St. Louis, MO: St Louis Lambert International",273.0,50.0,20.12,0.0,7.49,0.0,22.38,1.0,0.0,2983.0,967.0,0.0,325.0,0.0,1691.0
1372,2023,8,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3143.0,717.0,183.49,26.09,218.51,0.0,288.91,34.0,15.0,41231.0,9166.0,2453.0,14291.0,0.0,15321.0
1386,2023,8,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",254.0,71.0,22.96,0.11,19.92,0.0,28.01,0.0,1.0,3908.0,1035.0,20.0,1221.0,0.0,1632.0
1393,2023,8,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",8727.0,2208.0,491.62,51.67,750.42,3.67,910.63,109.0,33.0,114095.0,23438.0,4122.0,38031.0,228.0,48276.0
1418,2023,8,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",2753.0,769.0,226.44,7.5,134.65,1.5,398.91,34.0,1.0,35049.0,9457.0,767.0,4966.0,32.0,19827.0
1420,2023,8,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",1085.0,246.0,91.62,5.06,66.91,0.0,82.41,12.0,3.0,9574.0,3568.0,265.0,2173.0,0.0,3568.0
1432,2023,8,WN,Southwest Airlines Co.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",695.0,186.0,74.45,2.27,20.5,0.0,88.78,3.0,1.0,8344.0,2931.0,219.0,810.0,0.0,4384.0
1436,2023,8,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metro Oakland International",3375.0,778.0,215.09,3.28,72.01,2.3,485.33,70.0,0.0,36022.0,9702.0,306.0,2355.0,39.0,23620.0
1441,2023,8,WN,Southwest Airlines Co.,ORD,"Chicago, IL: Chicago O'Hare International",851.0,231.0,69.12,1.7,91.26,0.67,68.26,16.0,4.0,10133.0,3075.0,99.0,3615.0,10.0,3334.0
1446,2023,8,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5263.0,1096.0,321.36,9.48,160.66,6.12,598.37,107.0,24.0,50743.0,14890.0,826.0,6201.0,345.0,28481.0
