,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
56077,2020,10,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1225.0,68.0,33.81,1.76,15.91,0.0,16.52,1.0,0.0,7956.0,5955.0,239.0,444.0,0.0,1318.0
56080,2020,10,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1695.0,101.0,39.5,2.68,47.92,1.98,8.92,1.0,4.0,5461.0,3217.0,157.0,1461.0,79.0,547.0
56082,2020,10,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",863.0,41.0,26.92,2.14,7.97,0.0,3.96,0.0,2.0,5772.0,3209.0,2116.0,322.0,0.0,125.0
56094,2020,10,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",3072.0,183.0,70.57,6.42,72.33,1.0,32.68,4.0,3.0,9244.0,4723.0,457.0,2051.0,53.0,1960.0
56097,2020,10,DL,Delta Air Lines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",,,,,,,,,,,,,,,
56102,2020,10,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",440.0,30.0,18.4,0.5,6.52,1.0,3.58,0.0,0.0,1131.0,758.0,37.0,205.0,36.0,95.0
56107,2020,10,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",524.0,44.0,14.46,2.47,18.19,0.0,8.87,0.0,0.0,2497.0,932.0,214.0,547.0,0.0,804.0
56121,2020,10,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",1765.0,160.0,38.35,3.57,102.39,1.0,14.7,5.0,3.0,6836.0,2823.0,446.0,2559.0,56.0,952.0
56122,2020,10,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",532.0,21.0,6.79,2.91,10.52,0.0,0.78,1.0,0.0,915.0,367.0,127.0,335.0,0.0,86.0
56123,2020,10,DL,Delta Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",62.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,54.0,23.0,0.0,0.0,0.0
56159,2020,10,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",3577.0,282.0,86.63,3.68,143.22,1.0,47.47,4.0,0.0,14638.0,6820.0,267.0,3753.0,51.0,3747.0
56163,2020,10,DL,Delta Air Lines Inc.,STL,"St. Louis, MO: St Louis Lambert International",234.0,12.0,9.57,0.0,1.16,0.0,1.28,0.0,0.0,623.0,526.0,0.0,61.0,0.0,36.0
56174,2020,10,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",189.0,16.0,7.31,0.15,1.82,0.0,6.73,0.0,1.0,709.0,350.0,4.0,67.0,0.0,288.0
56190,2020,10,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",53.0,10.0,1.64,0.0,3.64,0.0,4.73,0.0,0.0,659.0,61.0,0.0,92.0,0.0,506.0
56195,2020,10,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",1896.0,241.0,51.72,2.04,114.32,0.0,72.92,6.0,2.0,12403.0,3468.0,98.0,4379.0,0.0,4458.0
56196,2020,10,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",90.0,18.0,4.09,0.31,9.34,0.0,4.27,0.0,0.0,1036.0,185.0,13.0,507.0,0.0,331.0
56200,2020,10,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",76.0,9.0,2.13,0.7,3.42,0.0,2.75,1.0,0.0,786.0,343.0,40.0,143.0,0.0,260.0
56215,2020,10,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",144.0,7.0,2.28,0.0,2.99,0.0,1.73,0.0,0.0,626.0,129.0,0.0,202.0,0.0,295.0
56216,2020,10,F9,Frontier Airlines Inc.,LGA,"New York, NY: LaGuardia",28.0,2.0,0.0,0.0,0.15,0.0,1.85,0.0,0.0,117.0,0.0,0.0,4.0,0.0,113.0
56226,2020,10,F9,Frontier Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",62.0,7.0,2.0,0.0,2.75,0.0,2.25,0.0,0.0,284.0,103.0,0.0,85.0,0.0,96.0
56232,2020,10,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",126.0,16.0,3.95,0.0,5.94,0.0,6.11,1.0,0.0,1518.0,280.0,0.0,635.0,0.0,603.0
56237,2020,10,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",259.0,27.0,8.82,0.0,12.53,0.0,5.65,0.0,1.0,1734.0,928.0,0.0,540.0,0.0,266.0
56248,2020,10,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",59.0,11.0,3.22,0.0,5.18,0.0,2.6,0.0,0.0,280.0,94.0,0.0,92.0,0.0,94.0
56249,2020,10,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",116.0,10.0,5.69,0.0,3.31,0.0,1.0,0.0,0.0,563.0,394.0,0.0,86.0,0.0,83.0
56250,2020,10,F9,Frontier Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",23.0,1.0,0.14,0.0,0.66,0.0,0.21,0.0,0.0,58.0,8.0,0.0,38.0,0.0,12.0
56252,2020,10,F9,Frontier Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",114.0,12.0,5.97,0.0,2.9,0.0,3.12,0.0,0.0,664.0,285.0,0.0,119.0,0.0,260.0
56256,2020,10,F9,Frontier Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",91.0,12.0,4.22,0.12,5.9,0.0,1.76,0.0,0.0,383.0,113.0,4.0,199.0,0.0,67.0
56892,2020,10,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",218.0,17.0,8.23,1.0,6.08,0.0,1.69,0.0,0.0,607.0,331.0,64.0,134.0,0.0,78.0
56903,2020,10,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56907,2020,10,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",3998.0,365.0,104.68,8.46,188.02,0.0,63.84,22.0,2.0,22158.0,10533.0,711.0,5801.0,0.0,5113.0
56908,2020,10,UA,United Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",222.0,48.0,13.58,1.0,25.28,0.0,8.14,0.0,0.0,2114.0,798.0,127.0,784.0,0.0,405.0
56912,2020,10,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",1984.0,126.0,48.62,5.31,38.72,0.0,33.35,2.0,1.0,7594.0,3634.0,332.0,1240.0,0.0,2388.0
56926,2020,10,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",988.0,67.0,35.05,1.0,15.91,0.0,15.05,0.0,0.0,5121.0,3447.0,65.0,480.0,0.0,1129.0
56927,2020,10,UA,United Air Lines Inc.,LGA,"New York, NY: LaGuardia",204.0,7.0,1.82,0.25,1.75,0.0,3.18,1.0,1.0,352.0,85.0,12.0,53.0,0.0,202.0
56935,2020,10,UA,United Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",142.0,11.0,5.62,0.0,3.29,0.0,2.09,0.0,0.0,474.0,215.0,0.0,145.0,0.0,114.0
56941,2020,10,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",2607.0,154.0,62.14,3.47,55.61,0.0,32.79,0.0,0.0,9601.0,5415.0,240.0,1827.0,0.0,2119.0
56946,2020,10,UA,United Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",348.0,32.0,14.38,0.0,13.71,0.0,3.91,0.0,0.0,1424.0,800.0,0.0,400.0,0.0,224.0
56956,2020,10,UA,United Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",464.0,37.0,8.77,0.0,22.84,0.0,5.39,1.0,1.0,1437.0,559.0,0.0,588.0,0.0,290.0
56957,2020,10,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",1609.0,83.0,35.86,2.0,24.87,0.0,20.27,6.0,8.0,4409.0,1930.0,127.0,738.0,0.0,1614.0
56958,2020,10,UA,United Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",53.0,2.0,1.19,0.0,0.53,0.0,0.28,0.0,0.0,70.0,41.0,0.0,20.0,0.0,9.0
56960,2020,10,UA,United Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",79.0,6.0,2.0,0.0,3.18,0.0,0.82,0.0,0.0,304.0,189.0,0.0,62.0,0.0,53.0
56970,2020,10,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2242.0,73.0,34.6,1.0,11.77,1.0,24.64,4.0,5.0,3082.0,1645.0,19.0,359.0,44.0,1015.0
56982,2020,10,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",152.0,7.0,3.96,0.0,3.0,0.0,0.04,0.0,1.0,220.0,99.0,0.0,120.0,0.0,1.0
56988,2020,10,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",5016.0,321.0,88.78,6.61,170.69,1.66,53.26,30.0,2.0,11303.0,4337.0,671.0,4252.0,49.0,1994.0
57008,2020,10,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",1302.0,44.0,16.57,1.18,14.47,0.0,11.78,2.0,0.0,1539.0,726.0,45.0,468.0,0.0,300.0
57010,2020,10,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",362.0,5.0,2.44,0.0,0.56,0.0,2.0,1.0,0.0,104.0,54.0,0.0,10.0,0.0,40.0
57021,2020,10,WN,Southwest Airlines Co.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",249.0,14.0,6.28,0.0,6.67,0.0,1.05,0.0,0.0,432.0,220.0,0.0,179.0,0.0,33.0
57023,2020,10,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metropolitan Oakland International",1799.0,70.0,28.14,0.08,21.44,0.83,19.52,2.0,5.0,2321.0,1080.0,2.0,658.0,19.0,562.0
57032,2020,10,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",3324.0,176.0,52.43,1.82,76.68,2.0,43.07,7.0,0.0,6201.0,2470.0,113.0,1870.0,58.0,1690.0
57045,2020,10,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",394.0,29.0,6.37,0.0,14.47,0.0,8.16,1.0,0.0,768.0,143.0,0.0,364.0,0.0,261.0
57046,2020,10,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",434.0,13.0,3.74,0.0,4.43,0.0,4.83,0.0,1.0,417.0,184.0,0.0,97.0,0.0,136.0
57047,2020,10,WN,Southwest Airlines Co.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",963.0,23.0,7.61,0.0,7.42,0.0,7.97,4.0,0.0,881.0,252.0,0.0,300.0,0.0,329.0
57049,2020,10,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",445.0,24.0,8.18,0.45,5.58,0.0,9.79,0.0,0.0,982.0,408.0,17.0,146.0,0.0,411.0
57052,2020,10,WN,Southwest Airlines Co.,STL,"St. Louis, MO: St Louis Lambert International",1679.0,64.0,34.5,2.59,9.29,1.0,16.62,5.0,0.0,2458.0,1441.0,152.0,254.0,16.0,595.0
57288,2020,9,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",409.0,38.0,21.87,2.76,8.55,0.5,4.32,0.0,0.0,2105.0,1554.0,81.0,274.0,21.0,175.0
57301,2020,9,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",5256.0,315.0,134.99,17.92,93.19,4.0,64.89,3.0,7.0,19885.0,11613.0,911.0,2554.0,170.0,4637.0
57307,2020,9,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",507.0,41.0,19.16,3.41,13.65,0.0,4.79,4.0,0.0,1854.0,937.0,99.0,462.0,0.0,356.0
57308,2020,9,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8147.0,1030.0,246.72,63.38,523.34,13.07,183.5,84.0,41.0,68804.0,19078.0,8053.0,28414.0,379.0,12880.0
57313,2020,9,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",295.0,12.0,5.27,1.08,2.73,1.0,1.92,0.0,0.0,525.0,220.0,77.0,93.0,20.0,115.0
57330,2020,9,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",396.0,22.0,12.33,1.0,5.66,0.75,2.26,0.0,0.0,1201.0,760.0,88.0,207.0,12.0,134.0
57332,2020,9,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1164.0,84.0,45.03,5.54,21.96,2.4,9.06,3.0,2.0,3739.0,2067.0,310.0,651.0,118.0,593.0
57333,2020,9,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",612.0,29.0,17.34,0.99,7.46,0.0,3.21,3.0,1.0,1539.0,1071.0,71.0,202.0,0.0,195.0
57342,2020,9,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",254.0,27.0,13.75,0.0,8.39,0.0,4.86,1.0,0.0,1727.0,1078.0,0.0,287.0,0.0,362.0
57349,2020,9,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",2459.0,131.0,62.04,7.52,33.2,1.96,26.27,3.0,4.0,7232.0,3127.0,559.0,892.0,116.0,2538.0
57354,2020,9,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2279.0,153.0,71.74,6.91,49.29,2.13,22.93,4.0,4.0,13258.0,8446.0,325.0,1393.0,40.0,3054.0
57367,2020,9,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",323.0,33.0,17.88,3.0,10.13,0.0,1.99,1.0,1.0,1906.0,1280.0,99.0,359.0,0.0,168.0
57368,2020,9,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",453.0,32.0,14.25,2.2,8.85,1.0,5.7,1.0,0.0,1323.0,735.0,64.0,208.0,80.0,236.0
57369,2020,9,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",138.0,8.0,3.15,0.7,1.4,1.49,1.25,0.0,0.0,312.0,156.0,14.0,29.0,78.0,35.0
57371,2020,9,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",200.0,22.0,12.51,0.66,5.57,0.0,3.25,0.0,3.0,926.0,494.0,31.0,227.0,0.0,174.0
57375,2020,9,AA,American Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",250.0,16.0,7.87,1.0,5.94,0.0,1.19,1.0,0.0,674.0,446.0,35.0,162.0,0.0,31.0
57388,2020,9,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",35.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,0.0
57401,2020,9,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",150.0,11.0,3.39,0.0,6.84,0.0,0.77,1.0,0.0,448.0,247.0,0.0,170.0,0.0,31.0
57402,2020,9,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",121.0,8.0,1.91,0.0,5.33,0.0,0.76,1.0,1.0,443.0,221.0,0.0,203.0,0.0,19.0
57405,2020,9,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",93.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,71.0,0.0,15.0,0.0,0.0
57413,2020,9,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",82.0,5.0,3.62,0.0,1.38,0.0,0.0,0.0,0.0,220.0,187.0,0.0,33.0,0.0,0.0
57417,2020,9,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",412.0,14.0,7.63,1.0,1.43,0.0,3.94,2.0,0.0,560.0,331.0,16.0,26.0,0.0,187.0
57421,2020,9,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",60.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,202.0,181.0,0.0,0.0,0.0,21.0
57426,2020,9,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",176.0,3.0,1.0,0.0,1.45,0.0,0.55,1.0,0.0,109.0,40.0,0.0,57.0,0.0,12.0
57430,2020,9,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",180.0,4.0,2.0,0.56,1.44,0.0,0.0,0.0,0.0,106.0,47.0,10.0,49.0,0.0,0.0
57438,2020,9,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",3740.0,216.0,70.68,10.51,97.89,2.14,34.78,17.0,2.0,8506.0,3125.0,531.0,2313.0,65.0,2472.0
57439,2020,9,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",306.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,337.0,279.0,58.0,0.0,0.0,0.0
57441,2020,9,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",120.0,3.0,2.22,0.0,0.0,0.0,0.78,1.0,0.0,131.0,89.0,0.0,0.0,0.0,42.0
57443,2020,9,AS,Alaska Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0
57449,2020,9,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",106.0,6.0,4.13,0.0,1.0,0.0,0.87,2.0,0.0,242.0,181.0,0.0,21.0,0.0,40.0
57459,2020,9,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International",16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0
57461,2020,9,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",53.0,1.0,0.67,0.0,0.33,0.0,0.0,0.0,0.0,15.0,10.0,0.0,5.0,0.0,0.0
57462,2020,9,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",24.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0
57464,2020,9,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",576.0,42.0,19.09,0.0,11.99,0.2,10.71,8.0,0.0,1929.0,969.0,0.0,302.0,16.0,642.0
57469,2020,9,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",1024.0,45.0,18.17,2.83,12.2,1.0,10.8,15.0,0.0,2151.0,1176.0,197.0,360.0,27.0,391.0
57471,2020,9,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",346.0,14.0,10.97,1.0,2.0,0.0,0.03,4.0,1.0,693.0,593.0,44.0,54.0,0.0,2.0
57472,2020,9,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",38.0,4.0,2.36,0.0,1.64,0.0,0.0,0.0,0.0,184.0,109.0,0.0,75.0,0.0,0.0
57475,2020,9,B6,JetBlue Airways,MSP,"Minneapolis, MN: Minneapolis-St Paul International",16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57478,2020,9,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",74.0,3.0,1.85,0.0,1.15,0.0,0.0,0.0,0.0,118.0,92.0,0.0,26.0,0.0,0.0
57482,2020,9,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",42.0,1.0,0.84,0.0,0.16,0.0,0.0,0.0,0.0,19.0,16.0,0.0,3.0,0.0,0.0
57492,2020,9,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",28.0,1.0,0.86,0.0,0.14,0.0,0.0,0.0,0.0,22.0,19.0,0.0,3.0,0.0,0.0
57493,2020,9,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",168.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,185.0,185.0,0.0,0.0,0.0,0.0
57495,2020,9,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",43.0,3.0,1.8,0.0,1.2,0.0,0.0,0.0,0.0,61.0,37.0,0.0,24.0,0.0,0.0
57503,2020,9,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12146.0,409.0,195.76,17.78,98.38,3.96,93.14,32.0,3.0,32070.0,21893.0,1050.0,2565.0,211.0,6351.0
57521,2020,9,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",228.0,16.0,7.44,0.93,7.63,0.0,0.0,0.0,0.0,693.0,414.0,40.0,239.0,0.0,0.0
57527,2020,9,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",690.0,34.0,14.46,0.96,15.87,1.0,1.7,0.0,1.0,1481.0,871.0,25.0,483.0,35.0,67.0
57528,2020,9,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",622.0,85.0,28.23,1.44,50.44,1.0,3.9,0.0,2.0,6175.0,3148.0,88.0,2568.0,56.0,315.0
57532,2020,9,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",217.0,7.0,3.7,0.0,2.0,0.0,1.3,0.0,0.0,326.0,203.0,0.0,62.0,0.0,61.0
57551,2020,9,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1096.0,34.0,16.94,1.42,6.27,1.0,8.37,1.0,0.0,1778.0,971.0,56.0,144.0,28.0,579.0
57554,2020,9,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1494.0,61.0,25.78,4.15,21.45,2.0,7.62,1.0,0.0,2692.0,1479.0,116.0,636.0,45.0,416.0
57556,2020,9,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",840.0,31.0,19.02,1.73,2.69,2.0,5.57,2.0,1.0,2845.0,1813.0,80.0,106.0,124.0,722.0
57569,2020,9,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2977.0,130.0,67.91,4.26,33.96,1.74,22.12,1.0,0.0,10260.0,7043.0,153.0,957.0,82.0,2025.0
57572,2020,9,DL,Delta Air Lines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0
57577,2020,9,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",470.0,37.0,20.06,0.54,14.04,0.0,2.35,1.0,1.0,1836.0,1239.0,53.0,438.0,0.0,106.0
57582,2020,9,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",488.0,31.0,14.79,1.57,12.53,0.0,2.11,0.0,0.0,1017.0,518.0,77.0,304.0,0.0,118.0
57596,2020,9,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",1738.0,88.0,31.43,1.69,41.23,0.0,13.65,1.0,1.0,3594.0,1523.0,224.0,1134.0,0.0,713.0
57597,2020,9,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",592.0,34.0,14.32,1.48,14.2,0.0,4.0,1.0,0.0,1567.0,790.0,208.0,401.0,0.0,168.0
57598,2020,9,DL,Delta Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",60.0,3.0,1.65,0.41,0.76,0.0,0.19,0.0,0.0,64.0,31.0,11.0,17.0,0.0,5.0
57600,2020,9,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",3455.0,242.0,82.52,6.94,92.71,0.0,59.83,2.0,13.0,15518.0,6607.0,573.0,2818.0,0.0,5520.0
57604,2020,9,DL,Delta Air Lines Inc.,STL,"St. Louis, MO: St Louis Lambert International",140.0,5.0,3.22,0.0,0.53,0.0,1.25,0.0,0.0,134.0,102.0,0.0,13.0,0.0,19.0
57658,2020,9,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",182.0,9.0,4.93,0.0,3.07,0.0,1.0,0.0,0.0,235.0,128.0,0.0,86.0,0.0,21.0
57674,2020,9,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",50.0,4.0,0.93,0.0,1.07,0.0,2.0,0.0,0.0,105.0,40.0,0.0,19.0,0.0,46.0
57679,2020,9,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",1821.0,89.0,33.08,1.89,37.66,0.0,16.37,3.0,2.0,4757.0,1904.0,77.0,1623.0,0.0,1153.0
57680,2020,9,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",80.0,4.0,1.02,0.0,2.98,0.0,0.0,0.0,1.0,186.0,107.0,0.0,79.0,0.0,0.0
57684,2020,9,F9,Frontier Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",54.0,6.0,3.5,0.0,1.67,0.0,0.83,0.0,0.0,265.0,171.0,0.0,41.0,0.0,53.0
57699,2020,9,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",112.0,1.0,0.77,0.0,0.23,0.0,0.0,0.0,0.0,35.0,27.0,0.0,8.0,0.0,0.0
57700,2020,9,F9,Frontier Airlines Inc.,LGA,"New York, NY: LaGuardia",16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0
57710,2020,9,F9,Frontier Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",60.0,3.0,2.59,0.0,0.03,0.0,0.38,0.0,0.0,493.0,418.0,0.0,5.0,0.0,70.0
57716,2020,9,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",126.0,13.0,4.69,1.0,5.31,0.0,2.0,0.0,0.0,961.0,487.0,21.0,155.0,0.0,298.0
57721,2020,9,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",192.0,12.0,0.37,0.0,6.67,0.0,4.96,1.0,1.0,552.0,17.0,0.0,192.0,0.0,343.0
57732,2020,9,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",55.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,104.0,86.0,0.0,18.0,0.0,0.0
57733,2020,9,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",89.0,8.0,1.94,0.0,1.15,0.0,4.91,0.0,0.0,477.0,98.0,0.0,47.0,0.0,332.0
57734,2020,9,F9,Frontier Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
